PAIR,Buy Time,Buy Price,Take Profit,Stop Loss,Close,Close Time,%
Euro / U.S.Dollar,2024-08-09 03:37:00,1.09254,1.1143908,1.0816146,1.09242,2024-08-09 03:39:00,-0.01%
Bitcoin / U.S.Dollar,2024-08-09 03:51:00,60944.0,62162.88,60334.56,60837.48,2024-08-09 03:55:00,-0.17%
U.S. Dollar / JAPANESE YEN,2024-08-09 03:51:00,147.136,150.07872,145.66464,147.208,2024-08-09 04:05:00,0.05%
British Pound / U.S.Dollar,2024-08-09 03:51:00,1.2767,1.302234,1.263933,1.2762,2024-08-09 03:57:00,-0.04%
Euro / U.S.Dollar,2024-08-09 03:53:00,1.09229,1.1141358,1.0813671,1.09203,2024-08-09 03:58:00,-0.02%
Bitcoin / U.S.Dollar,2024-08-09 03:59:00,60933.68,62152.3536,60324.3432,60835.73,2024-08-09 04:05:00,-0.16%
British Pound / U.S.Dollar,2024-08-09 04:04:00,1.2762,1.301724,1.263438,1.2764,2024-08-09 04:09:00,0.02%
Euro / U.S.Dollar,2024-08-09 04:04:00,1.09195,1.113789,1.0810305,1.09173,2024-08-09 04:12:00,-0.02%
Bitcoin / U.S.Dollar,2024-08-09 04:08:00,60794.86,62010.7572,60186.9114,60725.27,2024-08-09 04:10:00,-0.11%
Bitcoin / U.S.Dollar,2024-08-09 04:13:00,60709.45,61923.639,60102.3555,60871.4,2024-08-09 04:20:00,0.27%
U.S. Dollar / JAPANESE YEN,2024-08-09 04:16:00,146.971,149.91042000000002,145.50129,147.113,2024-08-09 04:29:00,0.10%
Euro / U.S.Dollar,2024-08-09 04:16:00,1.09167,1.1135034,1.0807533,1.0917,2024-08-09 04:20:00,0.00%
British Pound / U.S.Dollar,2024-08-09 04:17:00,1.2762,1.301724,1.263438,1.276,2024-08-09 04:21:00,-0.02%
British Pound / U.S.Dollar,2024-08-09 04:22:00,1.2761,1.301622,1.263339,1.2761,2024-08-09 04:25:00,0.00%
Euro / U.S.Dollar,2024-08-09 04:23:00,1.09194,1.1137788,1.0810206,1.09171,2024-08-09 04:24:00,-0.02%
British Pound / U.S.Dollar,2024-08-09 04:28:00,1.2764,1.301928,1.263636,1.2768,2024-08-09 04:33:00,0.03%
Euro / U.S.Dollar,2024-08-09 04:28:00,1.09184,1.1136768,1.0809216,1.0921,2024-08-09 04:33:00,0.02%
Bitcoin / U.S.Dollar,2024-08-09 04:41:00,61042.22,62263.0644,60431.7978,61121.17,2024-08-09 04:49:00,0.13%
Euro / U.S.Dollar,2024-08-09 04:43:00,1.09166,1.1134932000000002,1.0807434,1.09145,2024-08-09 04:51:00,-0.02%
British Pound / U.S.Dollar,2024-08-09 04:46:00,1.2765,1.30203,1.263735,1.2764,2024-08-09 04:51:00,-0.01%
U.S. Dollar / JAPANESE YEN,2024-08-09 04:50:00,147.145,150.08790000000002,145.67355,147.201,2024-08-09 04:56:00,0.04%
Bitcoin / U.S.Dollar,2024-08-09 04:53:00,61112.42,62334.6684,60501.2958,61106.07,2024-08-09 04:56:00,-0.01%
Euro / U.S.Dollar,2024-08-09 04:54:00,1.0914,1.113228,1.0804859999999998,1.0919,2024-08-09 05:04:00,0.05%
British Pound / U.S.Dollar,2024-08-09 04:54:00,1.2764,1.301928,1.263636,1.2767,2024-08-09 05:03:00,0.02%
Bitcoin / U.S.Dollar,2024-08-09 04:59:00,61184.34,62408.0268,60572.4966,61157.5,2024-08-09 05:00:00,-0.04%
U.S. Dollar / JAPANESE YEN,2024-08-09 05:00:00,147.236,150.18071999999998,145.76363999999998,147.192,2024-08-09 05:02:00,-0.03%
Bitcoin / U.S.Dollar,2024-08-09 05:01:00,61192.7,62416.554,60580.773,61259.57,2024-08-09 05:09:00,0.11%
U.S. Dollar / JAPANESE YEN,2024-08-09 05:05:00,147.217,150.16134000000002,145.74483,147.189,2024-08-09 05:06:00,-0.02%
U.S. Dollar / JAPANESE YEN,2024-08-09 05:08:00,147.21,150.1542,145.7379,147.178,2024-08-09 05:12:00,-0.02%
Euro / U.S.Dollar,2024-08-09 05:09:00,1.09209,1.1139318,1.0811691,1.09218,2024-08-09 05:12:00,0.01%
British Pound / U.S.Dollar,2024-08-09 05:09:00,1.2765,1.30203,1.263735,1.2763,2024-08-09 05:12:00,-0.02%
British Pound / U.S.Dollar,2024-08-09 05:13:00,1.2765,1.30203,1.263735,1.2764,2024-08-09 05:14:00,-0.01%
British Pound / U.S.Dollar,2024-08-09 05:15:00,1.2765,1.30203,1.263735,1.2764,2024-08-09 05:16:00,-0.01%
U.S. Dollar / JAPANESE YEN,2024-08-09 05:15:00,147.23,150.1746,145.7577,147.229,2024-08-09 05:18:00,-0.00%
Bitcoin / U.S.Dollar,2024-08-09 05:15:00,61087.37,62309.1174,60476.496300000006,61056.01,2024-08-09 05:29:00,-0.05%
British Pound / U.S.Dollar,2024-08-09 05:17:00,1.2765,1.30203,1.263735,1.2763,2024-08-09 05:20:00,-0.02%
